Datum,Uhrzeit,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,
31-05-2017,08:58,DAX SL 13055.44  HB 35.77  FN 13055.4...,NL0012071294,Transaktionsgebühr,,EUR,"-0,09",EUR,"-3156,67"
31-05-2017,08:58,DAX SL 13055.44  HB 35.77  FN 13055.4...,NL0012071294,"Kauf 45 zu je 5,05",,EUR,"-227,25",EUR,"-3156,58"
31-05-2017,00:00,,,Zinsen,,EUR,"-10,29",EUR,"-2929,33"
30-05-2017,22:52,,,SOFORT Zahlungsgebühr,,EUR,"-2,00",EUR,"-2919,04"
30-05-2017,22:52,,,SOFORT Einzahlung,,EUR,"280,00",EUR,"-2917,04"
30-05-2017,10:02,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3197,04"
30-05-2017,10:02,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-0,03",EUR,"-3193,04"
30-05-2017,10:02,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,"Kauf 10 zu je 7,29",,EUR,"-72,90",EUR,"-3193,01"
26-05-2017,15:50,SUEDZUCKER AG O.N,DE0007297004,Transaktionsgebühr,,EUR,"-2,00",EUR,"-3120,11"
26-05-2017,15:50,SUEDZUCKER AG O.N,DE0007297004,Transaktionsgebühr,,EUR,"-0,01",EUR,"-3118,11"
26-05-2017,15:50,SUEDZUCKER AG O.N,DE0007297004,"Kauf 5 zu je 19,05",,EUR,"-95,25",EUR,"-3118,10"
26-05-2017,00:00,BAYWA AG VINK.NA. O.N,DE0005194062,Dividende,,EUR,"3,40",EUR,"-3022,85"
26-05-2017,00:00,BAYWA AG VINK.NA. O.N,DE0005194062,Dividendensteuer,,EUR,"-0,90",EUR,"-3026,25"
25-05-2017,17:42,,,Einzahlung,,EUR,"100,00",EUR,"-3025,35"
25-05-2017,08:13,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3125,35"
25-05-2017,08:13,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-0,04",EUR,"-3121,35"
25-05-2017,08:13,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,"Kauf 16 zu je 5,78",,EUR,"-92,48",EUR,"-3121,31"
24-05-2017,08:00,S&P 500 SL 2602.00  HB 9.80  FN 2677....,NL0011862875,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3028,83"
24-05-2017,08:00,S&P 500 SL 2602.00  HB 9.80  FN 2677....,NL0011862875,Transaktionsgebühr,,EUR,"-0,02",EUR,"-3024,83"
24-05-2017,08:00,S&P 500 SL 2602.00  HB 9.80  FN 2677....,NL0011862875,"Kauf 20 zu je 2,6",,EUR,"-52,00",EUR,"-3024,81"
23-05-2017,18:27,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2972,81"
23-05-2017,18:27,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-0,05",EUR,"-2968,81"
23-05-2017,18:27,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,"Verkauf 100 zu je 1,29",,EUR,"129,00",EUR,"-2968,76"
22-05-2017,09:52,GOLDEN STAR RES,CA38119T1049,Transaktionsgebühr,,EUR,"-7,50",EUR,"-3097,76"
22-05-2017,09:52,GOLDEN STAR RES,CA38119T1049,Transaktionsgebühr,,EUR,"-0,05",EUR,"-3090,26"
22-05-2017,09:52,GOLDEN STAR RES,CA38119T1049,"Kauf 100 zu je 0,605",,EUR,"-60,50",EUR,"-3090,21"
22-05-2017,09:18,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3029,71"
22-05-2017,09:18,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-0,05",EUR,"-3025,71"
22-05-2017,09:18,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,"Kauf 100 zu je 1,18",,EUR,"-118,00",EUR,"-3025,66"
22-05-2017,09:02,GENERAL ELECTRIC,US3696041033,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2907,66"
22-05-2017,09:02,GENERAL ELECTRIC,US3696041033,Transaktionsgebühr,,EUR,"-0,10",EUR,"-2903,66"
22-05-2017,09:02,GENERAL ELECTRIC,US3696041033,"Kauf 10 zu je 25,2",,EUR,"-252,00",EUR,"-2903,56"
22-05-2017,08:59,GENERAL ELECTRIC SL 24.10 HB 8.44 FN ...,DE000CE6CLN4,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2651,56"
22-05-2017,08:59,GENERAL ELECTRIC SL 24.10 HB 8.44 FN ...,DE000CE6CLN4,Transaktionsgebühr,,EUR,"-0,03",EUR,"-2647,56"
22-05-2017,08:59,GENERAL ELECTRIC SL 24.10 HB 8.44 FN ...,DE000CE6CLN4,"Kauf 20 zu je 3,73",,EUR,"-74,60",EUR,"-2647,53"
21-05-2017,21:02,,,SOFORT Zahlungsgebühr,,EUR,"-2,00",EUR,"-2572,93"
21-05-2017,21:02,,,SOFORT Einzahlung,,EUR,"320,00",EUR,"-2570,93"
19-05-2017,09:26,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2890,93"
19-05-2017,09:26,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-0,03",EUR,"-2886,93"
19-05-2017,09:26,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Kauf 14 zu je 5,,EUR,"-70,00",EUR,"-2886,90"
19-05-2017,00:00,ALSTRIA OFFICE REIT-AG,DE000A0LD2U1,Dividendensteuer,,EUR,"1,36",EUR,"-2816,90"
19-05-2017,00:00,ALSTRIA OFFICE REIT-AG,DE000A0LD2U1,Dividende,,EUR,"5,20",EUR,"-2818,26"
19-05-2017,00:00,ALSTRIA OFFICE REIT-AG,DE000A0LD2U1,Dividendensteuer,,EUR,"-1,36",EUR,"-2823,46"
18-05-2017,16:20,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2822,10"
18-05-2017,16:20,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-0,03",EUR,"-2818,10"
18-05-2017,16:20,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,"Verkauf 75 zu je 0,85",,EUR,"63,75",EUR,"-2818,07"
18-05-2017,00:00,RDSA DIVIDEND COUPON,RDSASCRIPDV,Kauf 10 zu je 0,,USD,"0,00",USD,"0,00"
17-05-2017,11:07,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2881,82"
17-05-2017,11:07,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-0,04",EUR,"-2877,82"
17-05-2017,11:07,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,"Verkauf 10 zu je 9,02",,EUR,"90,20",EUR,"-2877,78"
16-05-2017,17:13,ZINC ONE RESOURC.INC,CA98959W1041,Transaktionsgebühr,,EUR,"-7,50",EUR,"-2967,98"
16-05-2017,17:13,ZINC ONE RESOURC.INC,CA98959W1041,Transaktionsgebühr,,EUR,"-0,07",EUR,"-2960,48"
16-05-2017,17:13,ZINC ONE RESOURC.INC,CA98959W1041,"Kauf 200 zu je 0,451",,EUR,"-90,20",EUR,"-2960,41"
15-05-2017,17:20,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2870,21"
15-05-2017,17:20,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-0,03",EUR,"-2866,21"
15-05-2017,17:20,DAX SL 12172.71  HB 21.16  ,NL0012070932,"Verkauf 12 zu je 6,67",,EUR,"80,04",EUR,"-2866,18"
,,FN 12172.7...,,,,,,,
15-05-2017,00:00,IS.E.G.B.C.1.5-10.5 U.ETF,DE000A0H0785,Dividende,,EUR,"1,47",EUR,"-2946,22"
12-05-2017,00:00,TELEFONICA DTLD HLDG AG,DE000A1J5RX9,Dividende,,EUR,"5,00",EUR,"-2947,69"
10-05-2017,08:20,NIKKEI 225 SL 21519.2265  HB 12.28  F...,DE000CW0J9Z3,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2952,69"
10-05-2017,08:20,NIKKEI 225 SL 21519.2265  HB 12.28  F...,DE000CW0J9Z3,Transaktionsgebühr,,EUR,"-0,01",EUR,"-2948,69"
10-05-2017,08:20,NIKKEI 225 SL 21519.2265  HB 12.28  F...,DE000CW0J9Z3,"Kauf 12 zu je 1,43",,EUR,"-17,16",EUR,"-2948,68"
09-05-2017,17:46,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2931,52"
09-05-2017,17:46,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-0,09",EUR,"-2927,52"
09-05-2017,17:46,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,"Kauf 20 zu je 11,78",,EUR,"-235,60",EUR,"-2927,43"
09-05-2017,17:27,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2691,83"
09-05-2017,17:27,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,Transaktionsgebühr,,EUR,"-0,06",EUR,"-2687,83"
09-05-2017,17:27,GOLD SL 1303.00  HB 16.21  FN 1343.72...,NL0011859624,"Verkauf 12 zu je 11,66",,EUR,"139,92",EUR,"-2687,77"
09-05-2017,15:30,GOPRO INC. - CLASS A,US38268T1034,Währungswechsel (Ausbuchung),,USD,"-50,46",USD,"0,00"
09-05-2017,15:30,GOPRO INC. - CLASS A,US38268T1034,Währungswechsel (Einbuchung),"1,0886",EUR,"46,31",EUR,"-2827,69"
09-05-2017,15:30,GOPRO INC. - CLASS A,US38268T1034,Transaktionsgebühr,,EUR,"-0,50",EUR,"-2874,00"
09-05-2017,15:30,GOPRO INC. - CLASS A,US38268T1034,Transaktionsgebühr,,EUR,"-0,02",EUR,"-2873,50"
09-05-2017,15:30,GOPRO INC. - CLASS A,US38268T1034,"Verkauf 6 zu je 8,41",,USD,"50,46",USD,"50,46"
09-05-2017,13:06,NORDEX SE O.N,DE000A0D6554,Transaktionsgebühr,,EUR,"-2,00",EUR,"-2873,48"
09-05-2017,13:06,NORDEX SE O.N,DE000A0D6554,Transaktionsgebühr,,EUR,"-0,01",EUR,"-2871,48"
09-05-2017,13:06,NORDEX SE O.N,DE000A0D6554,"Verkauf 10 zu je 14,27",,EUR,"142,70",EUR,"-2871,47"
08-05-2017,16:03,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3014,17"
08-05-2017,16:03,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-0,03",EUR,"-3010,17"
08-05-2017,16:03,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,"Kauf 12 zu je 5,85",,EUR,"-70,20",EUR,"-3010,14"
08-05-2017,09:56,ENDEAVOUR SILVER CORP,CA29258Y1034,Transaktionsgebühr,,EUR,"-7,50",EUR,"-2939,94"
08-05-2017,09:56,ENDEAVOUR SILVER CORP,CA29258Y1034,Transaktionsgebühr,,EUR,"-0,11",EUR,"-2932,44"
08-05-2017,09:56,ENDEAVOUR SILVER CORP,CA29258Y1034,"Kauf 50 zu je 2,667",,EUR,"-133,35",EUR,"-2932,33"
08-05-2017,09:46,GOLDEN STAR RES,CA38119T1049,Transaktionsgebühr,,EUR,"-7,50",EUR,"-2798,98"
08-05-2017,09:46,GOLDEN STAR RES,CA38119T1049,Transaktionsgebühr,,EUR,"-0,05",EUR,"-2791,48"
08-05-2017,09:46,GOLDEN STAR RES,CA38119T1049,"Kauf 100 zu je 0,631",,EUR,"-63,10",EUR,"-2791,43"
08-05-2017,09:29,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2728,33"
08-05-2017,09:29,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-0,02",EUR,"-2724,33"
08-05-2017,09:29,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,"Kauf 75 zu je 0,66",,EUR,"-49,50",EUR,"-2724,31"
08-05-2017,09:20,NASDAQ 100 SL 6140.00  HB 7.68  FN 64...,NL0012067235,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2674,81"
08-05-2017,09:20,NASDAQ 100 SL 6140.00  HB 7.68  FN 64...,NL0012067235,Transaktionsgebühr,,EUR,"-0,02",EUR,"-2670,81"
